embed,epoch,batch,learning_rate,dropout,recurrent_dropout,loss,accuracy,test_mae,tain_mae,train_mae
2000,30,50,0.01,0.2,0.2,7.221296310424805,0.0717131495475769,0.0026552791241556406,,5.0598944653756917e-05
3000,30,50,0.01,0.2,0.2,7.462616443634033,0.06772908568382263,0.002669969107955694,,5.126302130520344e-05
4000,30,50,0.01,0.2,0.2,7.545582294464111,0.06772908568382263,0.002664719009771943,,5.271185364108533e-05
5000,30,50,0.01,0.2,0.2,7.644890308380127,0.05378486216068268,0.002704198705032468,,5.5801006965339184e-05
500,15,25,0.001,0.2,0.2,6.473412036895752,0.06972111761569977,0.002699116477742791,,0.00018610726692713797
1000,15,25,0.001,0.2,0.2,6.416423797607422,0.06374502182006836,0.002687418134883046,,0.00013229945034254342
2000,15,25,0.001,0.2,0.2,6.293716907501221,0.0657370537519455,0.0026834390591830015,,0.0001099101864383556
3000,15,25,0.001,0.2,0.2,6.279364109039307,0.0657370537519455,0.0026843217201530933,,0.00010345859482185915
4000,15,25,0.001,0.2,0.2,6.310491561889648,0.06772908568382263,0.002679066266864538,,9.762722766026855e-05
5000,15,25,0.001,0.2,0.2,6.33051872253418,0.0657370537519455,0.002682476071640849,,9.664554090704769e-05
500,30,25,0.001,0.2,0.2,6.449505805969238,0.06972111761569977,0.00266315252520144,,7.17415678082034e-05
1000,30,25,0.001,0.2,0.2,6.403945446014404,0.06772908568382263,0.0026614523958414793,,6.659071368630975e-05
2000,30,25,0.001,0.2,0.2,6.346954345703125,0.06772908568382263,0.002659789053723216,,6.302604742813855e-05
3000,30,25,0.001,0.2,0.2,6.347499847412109,0.06972111761569977,0.002659117104485631,,6.128013774286956e-05
4000,30,25,0.001,0.2,0.2,6.3491106033325195,0.06772908568382263,0.002664870349690318,,6.0830589063698426e-05
5000,30,25,0.001,0.2,0.2,6.348108768463135,0.06772908568382263,0.002667890628799796,,6.027036579325795e-05
500,15,50,0.001,0.2,0.2,6.353797435760498,0.06772908568382263,0.0027192269917577505,,0.000455076718935743
1000,15,50,0.001,0.2,0.2,6.434398174285889,0.05776892602443695,0.002708008512854576,,0.000256060971878469
2000,15,50,0.001,0.2,0.2,6.294554710388184,0.06175298988819122,0.002697936026379466,,0.00017776383901946247
3000,15,50,0.001,0.2,0.2,6.280495643615723,0.06374502182006836,0.00269260979257524,,0.000159192131832242
4000,15,50,0.001,0.2,0.2,6.326902389526367,0.06175298988819122,0.0026971222832798958,,0.00014896380889695138
5000,15,50,0.001,0.2,0.2,6.263883590698242,0.06972111761569977,0.0026945786084979773,,0.00014468678273260593
500,30,50,0.001,0.2,0.2,6.483038902282715,0.06772908568382263,0.002677940996363759,,0.00010143598046852276
1000,30,50,0.001,0.2,0.2,6.332533359527588,0.0657370537519455,0.0026726312935352325,,8.686866203788668e-05
2000,30,50,0.001,0.2,0.2,6.2884297370910645,0.06175298988819122,0.002674525137990713,,7.870686386013404e-05
3000,30,50,0.001,0.2,0.2,6.270290851593018,0.0717131495475769,0.002669846173375845,,7.550964073743671e-05
4000,30,50,0.001,0.2,0.2,6.319054126739502,0.06374502182006836,0.0026770862750709057,,7.456360617652535e-05
5000,30,50,0.001,0.2,0.2,6.306216716766357,0.0657370537519455,0.0026793235447257757,,7.308844942599535e-05
1000,15,25,0.0001,0.2,0.2,6.836093902587891,0.0039840638637542725,0.002832210622727871,,0.0028291314374655485
2000,15,25,0.0001,0.2,0.2,6.744613170623779,0.011952191591262817,0.002832207130268216,,0.002825734671205282
3000,15,25,0.0001,0.2,0.2,6.704859733581543,0.027888447046279907,0.002831968478858471,,0.0028196899220347404
4000,15,25,0.0001,0.2,0.2,6.6709771156311035,0.03784860670566559,0.0028317971155047417,,0.002813356928527355
5000,15,25,0.0001,0.2,0.2,6.616272449493408,0.043824702501297,0.0028313493821769953,,0.0028038977179676294
500,30,25,0.0001,0.2,0.2,6.776717662811279,0.03187251091003418,0.002831783378496766,,0.0028199467342346907
1000,30,25,0.0001,0.2,0.2,6.640557765960693,0.04780876636505127,0.0028308406472206116,,0.0027968967333436012
2000,30,25,0.0001,0.2,0.2,6.492634296417236,0.05976095795631409,0.0028266627341508865,,0.0026809098199009895
3000,30,25,0.0001,0.2,0.2,6.430636405944824,0.05976095795631409,0.0028192871250212193,,0.002475747372955084
4000,30,25,0.0001,0.2,0.2,6.418286323547363,0.05976095795631409,0.002812650054693222,,0.002245260402560234
5000,30,25,0.0001,0.2,0.2,6.3660688400268555,0.06374502182006836,0.0028036427684128284,,0.002018409315496683
500,15,50,0.0001,0.2,0.2,6.8019328117370605,0.0039840638637542725,0.0028323056176304817,,0.002830775687471032
1000,15,50,0.0001,0.2,0.2,6.796235084533691,0.0039840638637542725,0.0028323044534772635,,0.0028304399456828833
2000,15,50,0.0001,0.2,0.2,6.766146659851074,0.0039840638637542725,0.002832272555679083,,0.002829611534252763
3000,15,50,0.0001,0.2,0.2,6.728421211242676,0.007968127727508545,0.0028322343714535236,,0.002828451571986079
