description,emoji
"whatever,eyeroll,rolling eyes",:rolling_eyes:
"yawn,yawning,yawned,yawns,bored,boredom,boring",:yawning_face:
"sleep,sleeping,sleeps,slept",:sleeping:
"drool,drools,drooling,drooled",:drool:
"exhausted,exhaust,exhale,exhales,exhaled,exhaling,exhausting",:face_exhaling:
"dizzy,dizziness",:face_with_spiral_eyes:
"mouth shut,secrete,tell no one,no telling",:zipper_mouth:
"woozy,drunk,tipsy",:woozy_face:
"sick,sickness,gross,nasty,nauseated,nausea,nauseating",:sick:
"vomit,vomiting,vomited,throw up,throwing up,puke,puking,puked,pukes,threw up",:face_vomiting:
"sneeze,sneezes,sneezed,sneezing,tissue,blow nose",:sneeze:
"injured,injury,injuring,ouch,head ache,hurt,hurting,hurts,hurted",:head_bandage:
"rich,wealthy,riches,wealth,millionare,billionare",:money_mouth:
"cowboy,cowboys,yee haw,wild west",:cowboy:
"evil,flirt,flirting,flirts,bad",:smiling_imp:
"clown,clowning,clowns,circus",:clown:
"poop,pooped,poops,pooping,shit,shits,shitting,shitted,shart,sharting,sharts,sharted,stinks,stinky",:poop:
"ghost,spooky,spooked,spooks,horror",:ghost:
"skull,skulls,dead,grave,skeleton,die,dying,died",:skull:
"alien,space ship",:alien:
"robot,terminator,ai,artificial intelligence",:robot:
"pumpkin,jack o lantern,halloween,pumpkins,jack o lanterns, jack-o-lantern,october",:jack_o_lantern:
"love,loving",:heart_hands:
"praise,praising,praised,praises",:raised_hands:
"clap,clapped,claps,clapping",:clap:
"handshake,handshakes,handshaking,deal,make a deal",:handshake:
"thumbs up,ok,okay,alright",:thumbsup:
"thumbs down,no",:thumbsdown:
"punch,punching,punches,punched,fight,fighting,fights,fighted",:punch:
"fingers crossed,good luck,hope,wish me luck,hoping,hoped,hopes",:fingers_crossed:
"peace out,goodbye,peace",:v:
"rock and roll,heavy metal,rock out,jamming",:metal:
"pinch,pinching,pinches,pinched,small",:pinching_hand:
"hand,hands,raise hand,raises hand,feel,felt,touch,touching,touches,touched,feels",:raised_hand:
"yolo,call me",:call_me:
"hand wave,waved",:wave:
"write,writer,wrtiting,writen",:writing_hand:
"pray,praying,prayed",:pray:
"point,finger",:index_pointing_at_the_viewer:
"foot,feet",:foot:
"leg,legs",:leg:
"workout,strong,muscle,muscles,working out",:muscle:
"lipstick,lipsticks",:lipstick:
"lips,mouth,lip",:lips:
"tooth,teeth,dentist",:tooth:
"tongue,tongues",:tongue:
"ear,ears,hear,hearing,heard,hears,listen,listens,listening,listened",:ear:
hearing aid,:ear_with_hearing_aid:
"nose,noses,smell,smelled,smelling,smells",:nose:
"eye,eyeball,eyeballs",:eye:
"eyes,seeing,watching,see,sees,watch,watches,watched,sight,look,looking,looks,looked",:eyes:
"lungs,lung,breath,breathing,breaths",:lungs:
"brain,brainy,head",:brain:
"speak,speaking,speaks,talk,talking,talked,talks,speaks",:speaking_head:
"baby,babies",:baby:
"child,children,childs,kid,kids,young",:child:
"girl,girls",:girl:
"boy,boys",:boy:
"adult,adults,adulting,person",:adult:
"man,men,mens,guy,guys,dude,dudes,boyfriend,boyfriends",:man:
"woman,women,lady,ladies,girlfriend,girlfriends",:woman:
"bald,balding",:person_bald:
beared,:bearded_person:
"old,old person",:older_adult:
"headscarf,headscarfs",:woman_with_headscarf:
"turban,turbans",:person_wearing_turban:
"police,cop,police officer,cops,officer,officers,police officers",:cop:
"construction,construction worker,construction workers",:construction_worker:
"guard,guarded,guarding",:guard:
"spy,spying,spies,sleuth,detective,detectives,sleuths",:spy:
"health worker,health workers,nurse,nursers,doctor,doctors,medical field",:health_worker:
"farmer,farm,farming,farmers",:farmer:
"cook,cooking,cooks,chef,chefs,cooked",:cook:
"student,students,school,schooling,learn,learning,graduate,graduating,graduated,graduates,learned,learns",:student:
"singers,singer,performer,performers",:singer:
"teach,teacher,teachers,instructor,instructors,professor,professors",:teacher:
"factory worker,factory workers",:factory_worker:
"technologist,technologists,programmer,programmers,developer,developers,video gamer,video gamers",:technologist:
"office worker,office workers,9 to 5,job,jobs,manager,managers,boss,bosses,ceo,ceos",:office_worker:
"mechanic,mechanics,auto repair,auto repairs,car guy,car guys,engineer,engineers",:mechanic:
"scientist,scientists,hypothesis,science,sciences",:scientist:
"artist,artists,designer,designers,painter,painters,art,arts",:artist:
"fire fighter,fire fighters",:firefighter:
"pilot,pilots,captain,captains,cock pit",:pilot:
"astronaut,astronauts,nasa,space explorer,space explorers",:astronaut:
"judge,judges,court,courts,court case,court cases,legal,lawyer,lawyers,divorce,divorces",:judge:
"bride,brides,wife,fiancee,marriage,marriages,wedding,weddings",:bride_with_veil:
"tuxedo,tuxedos,husband,husbands,groom,grooms,formal,formals,suit,suits,fiance",:man_in_tuxedo:
"princess,princesses,royalty",:princess:
"prince,princes",:prince:
"superhero,superheros,hero,heros,marvel,dc,savior,saviors",:superhero:
"supervillian,supervillians,enemy,enemies",:supervillain:
"ninja,ninjas",:ninja:
mrs claus,:mrs_claus:
"santa,santa claus,christmas,december",:santa:
"mage,mages,witch,witches",:woman_mage:
"wizard,wizards,sorcerers,sorcerer,warlock,warlocks,magic",:man_mage:
"elf,elves",:elf:
"troll,trolls,ogers,orger,ugly,goblin,golbins",:troll:
"vampire,vampires,dracula",:vampire:
"zombie,zombies,monster,monsters",:zombie:
"genie,genies",:genie:
"merperson,merpersons,mermaid,mermaids,mermans,merman",:merperson:
"fairy,fairies,pixie,pixies",:fairy:
"angel,angels,heaven,after life",:angel:
pregnant,:pregnant_woman:
"feeding baby,baby feeding,breast feeding",:person_feeding_baby:
"deaf,can not hear,did not hear",:deaf_person:
"facepalming,facepalm,facepalms,faceplamed",:person_facepalming:
"raising hand,raises hand,raise hand,raised hand",:person_raising_hand:
"shrug,shrugs,shrugging,shurgged,I do not know,unsure",:shrug:
"whistle,whistles,whistling,whistled,pout,pouting,pouts,pouted",:person_pouting:
"haircut,haircuts",:haircut:
"massage,massages",:massage:
"nail care,paint nails,pedicure,pedicures,manicures,manicure",:nail_care:
"selfie,selfies",:selfie:
"dancer,dance,dances,danced,dancers,dancing",:dancer:
"wheelchair,wheelchairs,handicap,handicaped",:person_in_manual_wheelchair:
"walk,walking,walked,walks,walker,walkers",:walking:
"blind,blinded,blinding,can not see,blinds,probing cane,probing canes",:person_with_probing_cane:
"kneel,kneeling,kneeled,kneels",:person_kneeling:
"run,running,runners,runner,runs,ran,fast",:person_running:
"stand,standing,stands,stalker,stalkers,stalking,stalk,stalks",:person_standing:
"hold hands,holding hands,holds hands,holded hands",:people_holding_hands:
"relationship,relationships,couple,couples,dating",:couple_with_heart:
"family,families",:family:
"knot,knots,knotting,knotted",:knot:
"yarn,yarns",:yarn:
"thread,threads,threading,threaded",:thread:
"needle,needles,sew,sews,sewing,sewed,sewing needle",:sewing_needle:
"coat,coats,jacket,jackets,sweat shirt,sweat shirts",:coat:
"shirt,shirts,t shirt",:shirt:
"jeans,pants",:jeans:
"briefs,underwear,underwears,boxers",:briefs:
shorts,:shorts:
"dress,dresses",:dress:
"boots,boot",:boot:
"shoe,shoes",:athletic_shoe:
"socks,sock",:socks:
"glove,gloves",:gloves:
"scraf,scarves",:scarf:
"hat,hats,cap,caps",:billed_cap:
"helmet,helmets",:military_helmet:
"crown,crowns,king,queen,kings,queens",:crown:
"rings,ring,propose,proposes,proposed,proposing,married",:ring:
"handbag,handbags,pouch,pouches,purse,purses,wallet,wallets",:handbag:
"briefcase,briefcases",:briefcase:
"backpack,backpacks,satchel,satchels,bag,bags",:school_satchel:
