description,emoji
"mail,mailed,mailing,mailbox,mailboxes",:mailbox_with_mail:
"receipt,receipts",:receipt:
"chart,charts",:bar_chart:
"stock,stocks",:chart_with_upwards_trend:
"calendar,calendars,date,dates,day,days,month,months,year,years",:calendar:
"wastebasket,wastebaskets,trashcan,trashcans,trash,trashed",:wastebasket:
"file,files,filing,filed",:dividers:
"newspaper,news,newspapers,information,inform,informed,informing",:newspaper2:
"notebook,notebooks",:notebook:
"book,books,read,reading,reads,knowledge",:books:
"link,links,linked,linking",:link:
"paperclip,paperclips",:paperclip:
"ruler,rulers,measure,measures,inch,inches,centimeters,centimeter",:straight_ruler:
"math,calculate,calculations,calculation,calculated,calculates,calculating",:abacus:
"scissors,scissor,cut,cuts,cutted,cutting",:scissors:
"pen,pens,ballpoint,ballpoint pen,ballpoint pens",:pen_ballpoint:
"paintbrush,paintbrushes",:paintbrush:
"crayon,crayons",:crayon:
"pencil,pencils",:pencil2:
"lock,locks,locked,locking",:lock:
"unlock,unlocks,unlocked,unlocking",:unlock:
"heart,hearts,love,loved,loving,loves,lover,lovers",:heart:
"broken heart,broken hearts,break up,dumped",:broken_heart:
sos,:sos:
"wrong,incorrect",:x:
"stop,no entry,stopped,stopping",:no_entry:
underage,:underage:
"warn,warns,warned,warning,caution,cautious,cautioned",:warning:
"recycle,recycled,recycles,recycling",:recycle:
"right,correct",:white_check_mark:
zero,:zero:
one,:one:
two,:two:
three,:three:
four,:four:
five,:five:
six,:six:
seven,:seven:
eight,:eight:
nine,:nine:
ten,:keycap_ten:
"number,numbered,numbers,numbering",:1234:
"music,musical",:musical_note:
"mute,muted",:mute:
"sound,sounds",:sound:
"thought,think,thinking,dream,dreaming,dreamed,dreams",:thought_balloon:
"joker,jokers",:black_joker:
female,:female_sign:
male,:male_sign:
"flag,flags",:flag_white:
"red flag,red flags",:triangular_flag_on_post:
"pride,gay",:rainbow_flag:
"pirate,pirates",:pirate_flag:
"mexico,mexican",:flag_mx:
"canada,canadian",:flag_ca:
"america,american,united states",:flag_us:
